code,answer,score_v1,score_v2,score,ideal,score_ideal_ratio
F.1,"YES. The Audit Committee and the Board consider and review the financial statements for integrity of the process and for truthful and factual presentation. The committee reviews internal and external audit reports, policies, compliance reports, and risk management reports. The external auditor issues an opinion on the financial statements based on their audit conducted in accordance with International Standards on Auditing. The directors are responsible for the preparation of financial statements that give a true and fair view in accordance with International Financial Reporting Standards and the requirements of the Companies Act, 2015, and for such internal control as the directors determine is necessary to enable the preparation of financial statements that are free from material misstatement, whether due to fraud or error.",2,,2,2,1.0
F.10,"YES. The Audit & Risk committee provides structured and systematic oversight of the institution's governance, risk management, and internal control practices, and assists the board and management by providing advice and guidance on various initiatives, including values and ethics, governance structure, risk management, internal control framework, oversight of the internal audit activity, external auditors, and other providers of assurance, financial statements, and public accountability reporting. The committee also reviews internal audit reports, external auditor reports, policies, compliance with regulatory requirements, and risk management reports. The Board receives a report from the Chairman of each committee on significant areas of discussion and key decisions at the subsequent Board meeting, and each committee has in place terms of reference that sets out the roles and responsibilities and the procedural rules that apply to the committee. The Board also keeps formal records of Board discussions and follows up on the timely execution of agreed actions.",2,,2,2,1.0
F.2,YES. The Annual Report contains a statement from the Board explaining its responsibility for preparing the accounts and there is a statement by the external auditor about his/her reporting responsibilities.,2,,2,2,1.0
F.3,"YES. The Audit & Risk committee is composed of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya. The external auditor provides a statement that they have complied with relevant ethical requirements regarding independence, and communicate with the directors all relationships and other matters that may reasonably be thought to bear on their independence. The directors monitor the effectiveness, objectivity, and independence of the auditor and approve the annual audit engagement contract which sets out the terms of the auditor’s appointment and the related fees. The Board also reviews its performance and that of the Board committees and individual directors every year.",2,2.0,3,3,1.0
F.4,NO,0,,0,2,0.0
F.5,"YES. The company's Annual Report is prepared on an integrated basis using a framework available from the Integrated Reporting Council, The Global Reporting Initiative, G4 Sustainability Guidelines and/or Sustainability Accounting Standards Board standards. The report covers the primary activities of the Group across all regional markets and gives a comprehensive review of financial and non-financial metrics. The report highlights how the company executes its strategy, strives to operate sustainably, creates shared value, and governs its business. The report complies with the guidelines of the International Integrated Reporting Council (IIRC) and the financial statements of the Group have been prepared in accordance with International Financial Reporting Standards (IFRS) and interpretations issued by the IFRS Interpretations Committee (IFRS IC) applicable to companies reporting under IFRS and the Companies Act, 2015.",2,,2,2,1.0
F.6,"YES. The Board has established an effective risk management framework which is inclusive of key risks as well as foreseeable risks, environmental and social risks and issues. The Group's risk management function has designed and oversees a Risk Management Framework to allow the Group identify, measure and manage risks within a Board-approved risk appetite. The Board of Directors has overall responsibility for the establishment and oversight of the Group's risk management framework. The Board of Directors of the Group has established various committees including Audit & Risk, Human Resources & Governance, Strategy & IT, Nominations & Oversight committees, which are tasked with developing and continuous monitoring of the Group risk management policies in their specified areas. The Group is continually updating our Enterprise Risk management framework to ensure the identification, assessment, management and reporting of climate change-related risks which helps increase our understanding of the risks and opportunities in our portfolios and enhances our forward-looking analysis.",2,,2,2,1.0
F.7,"YES. The Group Board has the overall responsibility for the Group’s system of internal control, which includes all material controls including financial, operational and compliance controls and related risk management, and reviewing its effectiveness. The committee further reviewed the internal audit reports presented by the Internal Auditor for audits undertaken during the year in line with the approved audit plan. The committee reviewed the quarterly risk management reports presented by the Chief Risk Officer. The content also mentions that the Board establishes effective governance and control frameworks for their business to be compliant with Group policy requirements, to maintain appropriate risk management skills, mechanisms, and toolkits, and to act within Group risk appetite parameters set and approved by the Board.",2,,2,2,1.0
F.8,"YES. The Board annually conducts a review on the effectiveness of the company’s risk management practices and internal control systems and reports this to shareholders. The Board reviews its performance and that of the Board committees and individual directors every year, and every third year, the review is facilitated by an external consultant. The Group’s risk management function has designed and oversees a Risk Management Framework to allow the Group to identify, measure and manage risks within a Board-approved risk appetite. The Board of Directors has overall responsibility for the establishment and oversight of the Group’s risk management framework, and the Board of Directors of the Group has established the Credit, Audit, Risk, Human Resources and Procurement and Information Technology committees, which are responsible for developing and monitoring the Group risk management policies in their specified areas.",2,,2,2,1.0
F.9,"YES. The Audit & Risk committee is composed of only independent non-executive Directors in line with the provisions of the Prudential Guidelines issued by the Central Bank of Kenya. The committee provides oversight of the institution’s governance, risk management, and internal control practices, and reviews the unaudited and audited financial statements for the full year 2021. The Executive Committee tracks the remediation of outstanding audit issues monthly across the Group and ensures the auditor’s recommendations have been satisfactorily implemented to address the identified risks. The Group Internal Auditor & Audit Director presents key audit findings to the Group Executive Committee on a monthly basis who ensure the issues are fully resolved. The internal audit reviews indicated an improved internal control environment in 2021 compared to 2020 with fewer audit assignments being rated ‘unsatisfactory’. The Board reviews its performance and that of the Board committees and individual directors every year.",2,,2,2,1.0
G.1,"YES. The company has policies and processes to ensure timely and balanced disclosure of all material information as required by all laws, regulations and standards and this Code. The Board ensures that high standards and practices in Corporate Governance and more specifically the principles, practices and recommendations set out under the Code of Corporate Governance Practices for Issuers of Securities to the Public, 2015 (“the CMA Code”), the Corporate Governance Guidelines as prescribed by the Central Bank of Kenya being the primary regulatory authority of the Group and KCB Bank Kenya Limited as well as the Companies Act, 2015 (“the Act”) are adhered to. The Group has in place a suite of policies and practices to promote a culture of compliance, honesty and ethical behaviour including in relation to anti-money laundering and counter-terrorism financing, whistle blower protection and conflicts of interest.",2,,2,2,1.0
G.10,"YES. The Board employs diverse channels and mechanisms to communicate and disseminate information to its various stakeholders, including shareholders, and is committed to giving shareholders appropriate information and facilities to enable them to exercise their rights effectively. The Group additionally releases material information to the Capital Markets Authority and the Nairobi Securities Exchange as well as the Central Bank of Kenya in line with all disclosure requirements in the Capital Markets Act, the Banking Act, the Prudential Guidelines as well as all other relevant regulation.",2,,2,2,1.0
G.11,NO,0,,0,2,0.0
G.12,"YES. The Board includes in its Annual Report a statement of policy on good governance and the status of the application of the Code. The Board of Directors of KCB Group Plc considers good governance to be achieved through an ethical culture, competitive performance, effective control, and legitimacy, and applies good governance practices to promote strategic decision making for the organization. The Board ensures that high standards and practices in Corporate Governance and the principles, practices, and recommendations set out under the Code of Corporate Governance Practices for Issuers of Securities to the Public, 2015, are adhered to. The Capital Markets Authority assessed the status of implementation of the CMA Code by the Company for the year ended 31 December 2020, and the overall rating awarded to the Company was a leadership rating of 81% - a testament to the Board’s commitment to sound corporate governance practices.",2,,2,2,1.0
G.2,"YES. The Annual Report covers disclosures as prescribed in 7.1.1 relating to the company's governance, the Board and the Audit Committee.",2,,2,2,1.0
G.3,NO,0,,0,2,0.0
G.4,"YES. The Annual Report covers disclosures as prescribed in 7.1.1 relating to remuneration and whistleblowing. The report includes a directors' remuneration report, information on the total amount of emoluments paid to directors, and a statement on the Group's policy for non-executive directors' remuneration and privileges. The report also mentions the Group's approach towards reward and recognition and its zero-tolerance policy for any actual or threatened act of reprisal against any whistle-blower.",2,,2,2,1.0
G.5,NO,0,,0,2,0.0
G.6,NO,0,,0,2,0.0
G.7,"YES. The Board has provided disclosures on compliance with laws, regulations, and standards, ethical leadership, conflict of interest, corporate social responsibility, and citizenship. The assessment shows that the Board has a commitment to good corporate governance, board operations and control, rights of shareholders, stakeholder relations, ethics and social responsibility, accountability, risk management, and internal control, and transparency and disclosure. The Board also conducts investigations and retains legal, accounting, or other services as necessary to fulfill its duties. The subsidiaries of the Group comply with the Group Board Charter, subject only to local legal requirements. The Board has delegated authority to various Board committees to undertake its mandate effectively and efficiently.",2,,2,2,1.0
G.8,"YES. The Board has made all required disclosures, including confirming requirements of 7.1.1 which include that a governance audit was carried out and that there are no known insider dealings. The audit confirmed that the Board has put in place a sound governance framework, which is in compliance with the legal and regulatory framework and in line with global best governance practices for the interest of stakeholders. The directors also monitor the effectiveness, objectivity, and independence of the auditor.",2,,2,2,1.0
G.9,"YES. The Board has disclosed the company's risk management policy, company procurement policy, and policy on information technology as per 7.1.1. The Board of Directors has established various committees including Audit & Risk, Human Resources & Governance, Strategy & IT, Nominations & Oversight committees, which are tasked with developing and continuous monitoring of the Group risk management policies in their specified areas. The Group maintains an Information Risk Policy which governs the protection of KCB’s information assets from all threats, whether internal or external, deliberate, or accidental, to ensure business continuity, minimize business damage and maximize return on investments and business opportunities. The Group’s overall risk management programme focuses on the unpredictability of financial markets and seeks to minimize potential adverse effects on the Group’s financial performance.",2,,2,2,1.0
